brand,model,year,selling_price,categoria_precio
Audi,RS7 2015-2019 Sportback Performance,2016-01-01,8900000,Caro
Mercedes-Benz,S-Class S 350d Connoisseurs Edition,2017-01-01,8150000,Caro
Mercedes-Benz,GLS 2016-2020 350d 4MATIC,2016-01-01,5500000,Caro
BMW,X5 xDrive 30d xLine,2019-01-01,4950000,Caro
BMW,X5 xDrive 30d xLine,2019-01-01,4950000,Caro
BMW,X5 xDrive 30d xLine,2019-01-01,4950000,Caro
BMW,X5 xDrive 30d xLine,2019-01-01,4950000,Caro
BMW,X5 xDrive 30d xLine,2019-01-01,4950000,Caro
BMW,X5 xDrive 30d xLine,2019-01-01,4950000,Caro
BMW,X5 xDrive 30d xLine,2019-01-01,4950000,Caro
BMW,X5 xDrive 30d xLine,2019-01-01,4950000,Caro
BMW,X5 xDrive 30d xLine,2019-01-01,4950000,Caro
BMW,X5 xDrive 30d xLine,2019-01-01,4950000,Caro
BMW,X5 xDrive 30d xLine,2019-01-01,4950000,Caro
BMW,5 Series 520d Luxury Line,2019-01-01,4800000,Caro
BMW,5 Series 520d Luxury Line,2018-01-01,4800000,Caro
Audi,A5 Sportback,2020-01-01,4700000,Caro
Mercedes-Benz,E-Class Exclusive E 200 BSIV,2018-01-01,4500000,Caro
Mercedes-Benz,E-Class Exclusive E 200 BSIV,2018-01-01,4500000,Caro
Volvo,XC 90 D5 Inscription BSIV,2017-01-01,4500000,Caro
Mercedes-Benz,GL-Class 350 CDI Blue Efficiency,2014-01-01,4400000,Caro
Mercedes-Benz,GL-Class 350 CDI Blue Efficiency,2014-01-01,4400000,Caro
Land,Rover Range Rover 4.4 Diesel LWB Vogue SE,2010-01-01,4200000,Caro
Land,Rover Discovery S 2.0 SD4,2018-01-01,4000000,Caro
Land,Rover Discovery Sport TD4 HSE 7S,2018-01-01,4000000,Caro
BMW,7 Series Signature 730Ld,2014-01-01,4000000,Caro
Audi,Q5 3.0 TDI Quattro Technology,2018-01-01,3899000,Caro
Audi,Q5 3.0 TDI Quattro Technology,2018-01-01,3899000,Caro
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,3800000,Caro
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,3800000,Caro
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,3800000,Caro
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,3800000,Caro
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,3800000,Caro
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,3800000,Caro
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,3800000,Caro
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,3800000,Caro
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,3800000,Caro
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,3800000,Caro
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,3800000,Caro
Audi,Q5 2.0 TDI,2015-01-01,3500000,Caro
Land,Rover Discovery Sport SD4 HSE Luxury,2016-01-01,3500000,Caro
Audi,A4 35 TDI Premium Plus,2019-01-01,3256000,Caro
Ford,Endeavour 3.2 Titanium AT 4X4,2019-01-01,3200000,Caro
Toyota,Fortuner 2.8 2WD AT BSIV,2017-01-01,3200000,Caro
Audi,Q5 3.0 TDI Quattro Technology,2015-01-01,3200000,Caro
Audi,A4 30 TFSI Technology,2018-01-01,3100000,Caro
