brand,model,year,categoria_antiguedad
Audi,RS7 2015-2019 Sportback Performance,2016-01-01,Medio
Mercedes-Benz,S-Class S 350d Connoisseurs Edition,2017-01-01,Medio
Mercedes-Benz,GLS 2016-2020 350d 4MATIC,2016-01-01,Medio
BMW,X5 xDrive 30d xLine,2019-01-01,Reciente
BMW,X5 xDrive 30d xLine,2019-01-01,Reciente
BMW,X5 xDrive 30d xLine,2019-01-01,Reciente
BMW,X5 xDrive 30d xLine,2019-01-01,Reciente
BMW,X5 xDrive 30d xLine,2019-01-01,Reciente
BMW,X5 xDrive 30d xLine,2019-01-01,Reciente
BMW,X5 xDrive 30d xLine,2019-01-01,Reciente
BMW,X5 xDrive 30d xLine,2019-01-01,Reciente
BMW,X5 xDrive 30d xLine,2019-01-01,Reciente
BMW,X5 xDrive 30d xLine,2019-01-01,Reciente
BMW,X5 xDrive 30d xLine,2019-01-01,Reciente
BMW,5 Series 520d Luxury Line,2019-01-01,Reciente
BMW,5 Series 520d Luxury Line,2018-01-01,Reciente
Audi,A5 Sportback,2020-01-01,Reciente
Mercedes-Benz,E-Class Exclusive E 200 BSIV,2018-01-01,Reciente
Mercedes-Benz,E-Class Exclusive E 200 BSIV,2018-01-01,Reciente
Volvo,XC 90 D5 Inscription BSIV,2017-01-01,Medio
Mercedes-Benz,GL-Class 350 CDI Blue Efficiency,2014-01-01,Medio
Mercedes-Benz,GL-Class 350 CDI Blue Efficiency,2014-01-01,Medio
Land,Rover Range Rover 4.4 Diesel LWB Vogue SE,2010-01-01,Medio
Land,Rover Discovery S 2.0 SD4,2018-01-01,Reciente
Land,Rover Discovery Sport TD4 HSE 7S,2018-01-01,Reciente
BMW,7 Series Signature 730Ld,2014-01-01,Medio
Audi,Q5 3.0 TDI Quattro Technology,2018-01-01,Reciente
Audi,Q5 3.0 TDI Quattro Technology,2018-01-01,Reciente
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,Reciente
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,Reciente
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,Reciente
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,Reciente
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,Reciente
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,Reciente
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,Reciente
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,Reciente
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,Reciente
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,Reciente
Mercedes-Benz,C-Class Progressive C 220d,2018-01-01,Reciente
Audi,Q5 2.0 TDI,2015-01-01,Medio
Land,Rover Discovery Sport SD4 HSE Luxury,2016-01-01,Medio
Audi,A4 35 TDI Premium Plus,2019-01-01,Reciente
Ford,Endeavour 3.2 Titanium AT 4X4,2019-01-01,Reciente
Toyota,Fortuner 2.8 2WD AT BSIV,2017-01-01,Medio
Audi,Q5 3.0 TDI Quattro Technology,2015-01-01,Medio
Audi,A4 30 TFSI Technology,2018-01-01,Reciente
Toyota,Fortuner 2.8 4WD AT BSIV,2019-01-01,Reciente
Audi,A4 30 TFSI Technology,2018-01-01,Reciente
BMW,3 Series GT Luxury Line,2017-01-01,Medio
BMW,5 Series 520d Luxury Line,2017-01-01,Medio
BMW,5 Series 520d Luxury Line,2017-01-01,Medio
Ford,Endeavour 2.2 Titanium AT 4X2,2019-01-01,Reciente
Toyota,Fortuner 2.8 2WD AT BSIV,2017-01-01,Medio
Audi,A8 4.2 TDI,2013-01-01,Medio
Toyota,Fortuner 2.8 2WD AT BSIV,2018-01-01,Reciente
Audi,A8 4.2 TDI,2013-01-01,Medio
BMW,X1 sDrive 20d xLine,2017-01-01,Medio
Toyota,Fortuner 2.8 4WD AT BSIV,2017-01-01,Medio
BMW,X1 sDrive 20d xLine,2017-01-01,Medio
Toyota,Fortuner 2.8 4WD AT BSIV,2017-01-01,Medio
Audi,Q3 35 TDI Quattro Technology,2018-01-01,Reciente
Mahindra,Alturas G4 4X2 AT BSIV,2019-01-01,Reciente
Ford,Endeavour 3.2 Titanium AT 4X4,2017-01-01,Medio
Ford,Endeavour 3.2 Titanium AT 4X4,2017-01-01,Medio
Ford,Endeavour 3.2 Titanium AT 4X4,2018-01-01,Reciente
Ford,Endeavour Titanium Plus 4X4,2017-01-01,Medio
Ford,Endeavour Titanium Plus 4X4,2017-01-01,Medio
Toyota,Fortuner 4x2 AT,2017-01-01,Medio
BMW,X1 sDrive 20d xLine,2019-01-01,Reciente
Toyota,Fortuner 4x2 AT,2017-01-01,Medio
Toyota,Fortuner 4x2 AT,2017-01-01,Medio
Toyota,Fortuner 4x2 AT,2017-01-01,Medio
Toyota,Fortuner 4x2 AT,2017-01-01,Medio
Toyota,Fortuner 4x2 AT,2017-01-01,Medio
Toyota,Fortuner 4x2 AT,2017-01-01,Medio
Toyota,Fortuner 4x2 AT,2017-01-01,Medio
Toyota,Fortuner 4x2 AT,2017-01-01,Medio
Toyota,Fortuner 4x2 AT,2017-01-01,Medio
Toyota,Fortuner 4x2 AT,2017-01-01,Medio
BMW,X1 sDrive 20d xLine,2019-01-01,Reciente
Toyota,Fortuner 4x2 AT,2017-01-01,Medio
Audi,Q3 35 TDI Quattro Technology,2017-01-01,Medio
Jaguar,XJ 5.0 L V8 Supercharged,2010-01-01,Medio
BMW,7 Series 730Ld,2012-01-01,Medio
Toyota,Fortuner 2.7 2WD AT,2016-01-01,Medio
Mercedes-Benz,E-Class E250 CDI Blue Efficiency,2012-01-01,Medio
Mercedes-Benz,M-Class ML 350 CDI,2014-01-01,Medio
Mercedes-Benz,New C-Class C 220 CDI Grand Edition,2014-01-01,Medio
BMW,X1 sDrive 20d xLine,2017-01-01,Medio
Land,Rover Range Rover Evoque 2.2L Dynamic,2012-01-01,Medio
Audi,A4 35 TDI Premium,2015-01-01,Medio
BMW,3 Series 320d Luxury Line,2018-01-01,Reciente
BMW,3 Series 320d Luxury Line,2015-01-01,Medio
BMW,3 Series 320d Luxury Line,2016-01-01,Medio
Ford,Endeavour 3.2 Titanium AT 4X4,2016-01-01,Medio
Jaguar,XF 5.0 Litre V8 Petrol,2012-01-01,Medio
Jaguar,XF 5.0 Litre V8 Petrol,2012-01-01,Medio
Mercedes-Benz,New C-Class C 220 CDI BE Avantgare,2013-01-01,Medio
BMW,3 Series 320d Sport,2013-01-01,Medio
Volvo,XC60 D5 Inscription,2014-01-01,Medio
Jaguar,XF 3.0 Litre S Premium Luxury,2013-01-01,Medio
Volvo,V40 D3 R Design,2018-01-01,Reciente
Jaguar,XF 2.2 Litre Luxury,2014-01-01,Medio
Ford,Endeavour 3.2 Titanium AT 4X4,2016-01-01,Medio
Toyota,Camry Hybrid 2.5,2017-01-01,Medio
Toyota,Innova Crysta 2.4 VX MT 8S BSIV,2019-01-01,Reciente
Toyota,Camry 2.5 Hybrid,2017-01-01,Medio
Toyota,Innova Crysta 2.4 VX MT 8S BSIV,2017-01-01,Medio
Toyota,Camry Hybrid 2.5,2017-01-01,Medio
MG,Hector Smart AT,2019-01-01,Reciente
Mahindra,XUV500 W11 Option AT AWD,2019-01-01,Reciente
Audi,Q5 2.0 TFSI Quattro Premium Plus,2014-01-01,Medio
Audi,Q5 2.0 TFSI Quattro Premium Plus,2014-01-01,Medio
MG,Hector Sharp Diesel MT BSIV,2019-01-01,Reciente
Honda,CR-V Diesel 4WD,2018-01-01,Reciente
Toyota,Fortuner 4x2 AT,2014-01-01,Medio
Jaguar,XF 3.0 Litre S Premium Luxury,2012-01-01,Medio
Ford,Endeavour 3.2 Titanium AT 4X4,2016-01-01,Medio
Toyota,Innova Crysta 2.8 ZX AT BSIV,2016-01-01,Medio
Toyota,Fortuner 4x2 Manual,2014-01-01,Medio
Toyota,Innova Crysta 2.4 VX MT,2016-01-01,Medio
Toyota,Innova Crysta 2.4 VX MT BSIV,2017-01-01,Medio
Toyota,Innova Crysta 2.4 VX MT BSIV,2017-01-01,Medio
Audi,A6 2.0 TDI Design Edition,2014-01-01,Medio
Audi,A6 2.0 TDI Design Edition,2014-01-01,Medio
Audi,Q3 2.0 TDI Quattro Premium Plus,2015-01-01,Medio
Audi,Q3 2.0 TDI Quattro Premium Plus,2015-01-01,Medio
Volvo,XC60 D3 Kinetic,2012-01-01,Medio
Audi,A6 2.0 TDI Design Edition,2013-01-01,Medio
Toyota,Innova Crysta 2.4 GX AT,2018-01-01,Reciente
Toyota,Innova Crysta 2.4 GX AT,2018-01-01,Reciente
Toyota,Innova Crysta 2.4 GX MT 8S BSIV,2018-01-01,Reciente
Tata,Harrier XZ BSIV,2019-01-01,Reciente
Jeep,Compass 2.0 Longitude Option BSIV,2018-01-01,Reciente
Tata,Harrier XZ BSIV,2019-01-01,Reciente
Toyota,Innova Crysta 2.8 ZX AT BSIV,2017-01-01,Medio
Toyota,Innova Crysta 2.4 VX MT 8S BSIV,2018-01-01,Reciente
BMW,7 Series 730Ld,2011-01-01,Medio
Toyota,Fortuner 3.0 Diesel,2012-01-01,Medio
Toyota,Corolla Altis 1.8 VL CVT,2018-01-01,Reciente
Toyota,Corolla Altis 1.8 VL CVT,2018-01-01,Reciente
Hyundai,Tucson 2.0 e-VGT 2WD MT,2017-01-01,Medio
Hyundai,Tucson 2.0 e-VGT 2WD MT,2017-01-01,Medio
Mahindra,XUV500 W11 AT BSIV,2018-01-01,Reciente
Tata,Hexa XT 4X4,2017-01-01,Medio
Hyundai,Tucson 2.0 e-VGT 2WD AT GL,2018-01-01,Reciente
Audi,A4 3.0 TDI Quattro,2013-01-01,Medio
Audi,A4 3.0 TDI Quattro,2013-01-01,Medio
Audi,A4 3.0 TDI Quattro,2013-01-01,Medio
Audi,A4 3.0 TDI Quattro,2013-01-01,Medio
Audi,A4 3.0 TDI Quattro,2013-01-01,Medio
Audi,A4 3.0 TDI Quattro,2013-01-01,Medio
Audi,A4 3.0 TDI Quattro,2013-01-01,Medio
Audi,A4 3.0 TDI Quattro,2013-01-01,Medio
Audi,A4 3.0 TDI Quattro,2013-01-01,Medio
Audi,A4 3.0 TDI Quattro,2013-01-01,Medio
Audi,A4 3.0 TDI Quattro,2013-01-01,Medio
Audi,A4 3.0 TDI Quattro,2013-01-01,Medio
Hyundai,Elantra 2.0 SX AT,2018-01-01,Reciente
BMW,3 Series 320d Sport Line,2013-01-01,Medio
Audi,A4 New 2.0 TDI Multitronic,2014-01-01,Medio
Toyota,Innova 2.5 VX (Diesel) 8 Seater,2015-01-01,Medio
Mahindra,XUV500 W10 2WD,2018-01-01,Reciente
Toyota,Innova Crysta 2.4 VX MT BSIV,2018-01-01,Reciente
Isuzu,D-Max V-Cross Standard,2018-01-01,Reciente
Toyota,Corolla Altis 1.8 GL,2019-01-01,Reciente
Mahindra,Scorpio S11 BSIV,2018-01-01,Reciente
Mahindra,Scorpio S11 BSIV,2017-01-01,Medio
Mercedes-Benz,New C-Class 220 CDI AT,2013-01-01,Medio
Hyundai,Creta 1.6 CRDi SX Option,2018-01-01,Reciente
BMW,3 Series 320d Sport,2013-01-01,Medio
Jeep,Compass 2.0 Longitude Option BSIV,2017-01-01,Medio
Hyundai,Creta 1.6 CRDi SX Option,2018-01-01,Reciente
BMW,X1 sDrive20d M Sport,2014-01-01,Medio
Hyundai,Creta 1.6 VTVT AT SX Plus,2018-01-01,Reciente
Hyundai,Creta 1.6 VTVT AT SX Plus,2018-01-01,Reciente
Audi,A6 2.0 TDI Premium Plus,2014-01-01,Medio
Audi,A6 2.0 TDI Premium Plus,2014-01-01,Medio
Mercedes-Benz,E-Class E250 Edition E,2013-01-01,Medio
Mahindra,XUV500 W10 2WD,2018-01-01,Reciente
Mercedes-Benz,New C-Class 220 CDI AT,2013-01-01,Medio
Mahindra,XUV500 W10 2WD,2018-01-01,Reciente
Mahindra,XUV500 W7 AT BSIV,2018-01-01,Reciente
Audi,Q3 2.0 TDI Quattro Premium Plus,2012-01-01,Medio
Tata,Harrier XZ BSIV,2019-01-01,Reciente
Mahindra,XUV500 AT W10 FWD,2018-01-01,Reciente
Mahindra,XUV500 W11 Option AWD,2020-01-01,Reciente
Mahindra,XUV500 W11 Option AWD,2020-01-01,Reciente
Jeep,Compass 1.4 Sport Plus BSIV,2019-01-01,Reciente
Mahindra,XUV500 W7 BSIV,2019-01-01,Reciente
Toyota,Fortuner 4x4 MT,2015-01-01,Medio
Mahindra,Scorpio S11 BSIV,2018-01-01,Reciente
BMW,X1 sDrive 20d Exclusive,2011-01-01,Medio
Mercedes-Benz,New C-Class C 220 CDI Avantgarde,2012-01-01,Medio
Tata,Hexa XTA,2018-01-01,Reciente
Mahindra,XUV500 AT W10 AWD,2017-01-01,Medio
Audi,Q5 2.0 TDI,2012-01-01,Medio
Nissan,Kicks XV Premium D BSIV,2019-01-01,Reciente
Mahindra,Scorpio S9 BSIV,2019-01-01,Reciente
Volkswagen,Vento 1.5 TDI Highline BSIV,2019-01-01,Reciente
Toyota,Innova Crysta 2.8 GX AT BSIV,2016-01-01,Medio
Ford,EcoSport 1.5 TDCi Titanium Plus BSIV,2020-01-01,Reciente
Ford,Ecosport Thunder Edition Diesel,2020-01-01,Reciente
Toyota,Innova Crysta 2.4 ZX MT,2017-01-01,Medio
Toyota,Innova 2.5 G (Diesel) 7 Seater,2015-01-01,Medio
Audi,A6 2.0 TDI Premium Plus,2013-01-01,Medio
Audi,A6 2.0 TDI Premium Plus,2013-01-01,Medio
Mahindra,Scorpio S11 BSIV,2018-01-01,Reciente
Audi,A6 2.0 TDI Premium Plus,2013-01-01,Medio
Mahindra,XUV500 AT W6 2WD,2017-01-01,Medio
Audi,A6 2.0 TDI Premium Plus,2013-01-01,Medio
Mahindra,Scorpio S11 BSIV,2018-01-01,Reciente
Audi,A6 2.0 TDI Premium Plus,2013-01-01,Medio
Kia,Seltos HTK Plus AT D,2019-01-01,Reciente
Toyota,Innova Crysta 2.4 G MT BSIV,2016-01-01,Medio
Audi,A6 2.0 TDI Premium Plus,2013-01-01,Medio
Audi,A6 2.0 TDI Premium Plus,2013-01-01,Medio
Mahindra,Marazzo M8 8Str,2018-01-01,Reciente
Audi,A6 2.0 TDI Premium Plus,2013-01-01,Medio
Audi,A6 2.0 TDI Premium Plus,2013-01-01,Medio
Audi,A6 2.0 TDI Premium Plus,2013-01-01,Medio
Mahindra,Marazzo M8 8Str,2018-01-01,Reciente
Hyundai,Creta 1.6 CRDi SX Option,2016-01-01,Medio
Toyota,Innova Crysta 2.4 VX MT BSIV,2017-01-01,Medio
Audi,A6 2.0 TDI Premium Plus,2013-01-01,Medio
Audi,A4 2.0 TDI,2011-01-01,Medio
Hyundai,Verna CRDi 1.6 SX Option,2019-01-01,Reciente
Mahindra,XUV500 W6 2WD,2016-01-01,Medio
Tata,Hexa XM,2018-01-01,Reciente
Hyundai,Creta 1.6 CRDi SX,2017-01-01,Medio
Audi,A8 L 3.0 TDI quattro,2009-01-01,Antiguo
Hyundai,Creta 1.6 CRDi SX Plus,2018-01-01,Reciente
Audi,Q7 35 TDI Quattro Premium,2009-01-01,Antiguo
Toyota,Fortuner 3.0 Diesel,2010-01-01,Medio
Mahindra,XUV500 W10 1.99 mHawk,2016-01-01,Medio
Honda,BRV i-DTEC V MT,2017-01-01,Medio
Tata,Safari Storme EX,2019-01-01,Reciente
Ford,Ecosport 1.5 Diesel Titanium Plus,2019-01-01,Reciente
Honda,BR-V i-VTEC VX MT,2020-01-01,Reciente
Mahindra,XUV500 W10 2WD,2016-01-01,Medio
Mahindra,XUV500 AT W10 FWD,2015-01-01,Medio
Honda,BR-V i-DTEC VX MT,2016-01-01,Medio
Hyundai,Creta 1.6 CRDi SX Plus,2016-01-01,Medio
Honda,WR-V i-DTEC VX,2019-01-01,Reciente
Mahindra,XUV500 AT W8 FWD,2017-01-01,Medio
Honda,City i-VTEC CVT ZX,2018-01-01,Reciente
Mahindra,XUV500 W10 AWD,2015-01-01,Medio
Skoda,Octavia Elegance 2.0 TDI AT,2014-01-01,Medio
Honda,City i-VTEC ZX,2018-01-01,Reciente
Hyundai,Verna CRDi 1.6 SX Option,2018-01-01,Reciente
Toyota,Innova 2.5 VX (Diesel) 8 Seater,2014-01-01,Medio
Mahindra,Scorpio S5 BSIV,2020-01-01,Reciente
Honda,City i-VTEC ZX,2018-01-01,Reciente
Skoda,Octavia Elegance 2.0 TDI AT,2014-01-01,Medio
Honda,City i-VTEC ZX,2018-01-01,Reciente
Toyota,Innova 2.5 VX (Diesel) 7 Seater,2015-01-01,Medio
Hyundai,Creta 1.6 SX,2019-01-01,Reciente
Hyundai,Creta 1.6 SX Option,2018-01-01,Reciente
BMW,5 Series 525d Sedan,2009-01-01,Antiguo
Tata,Hexa XT,2017-01-01,Medio
Mahindra,XUV500 W10 2WD,2015-01-01,Medio
Skoda,Octavia Elegance 2.0 TDI AT,2014-01-01,Medio
Audi,A4 1.8 TFSI,2012-01-01,Medio
Tata,Hexa XTA,2017-01-01,Medio
Hyundai,Verna CRDi 1.6 SX Option,2019-01-01,Reciente
Tata,Hexa XTA,2017-01-01,Medio
Hyundai,Verna 1.6 CRDI SX Option,2017-01-01,Medio
Hyundai,Creta 1.6 CRDi AT SX Plus,2016-01-01,Medio
Hyundai,Venue SX Opt Diesel,2019-01-01,Reciente
Audi,Q5 2.0 TDI,2011-01-01,Medio
Honda,BR-V i-DTEC VX MT,2017-01-01,Medio
Honda,City i-VTEC CVT ZX,2018-01-01,Reciente
Hyundai,Creta 1.6 CRDi SX,2016-01-01,Medio
Hyundai,Verna CRDi 1.6 SX Option,2018-01-01,Reciente
Hyundai,Creta 1.6 SX Automatic Diesel,2015-01-01,Medio
Mahindra,XUV500 W7 BSIV,2018-01-01,Reciente
Toyota,Corolla Altis GL MT,2016-01-01,Medio
Mahindra,XUV500 AT W10 1.99 mHawk,2017-01-01,Medio
Mahindra,XUV500 W7,2018-01-01,Reciente
Audi,A4 2.0 TDI 177 Bhp Premium Plus,2013-01-01,Medio
Hyundai,Verna CRDi 1.6 SX Option,2018-01-01,Reciente
Mahindra,XUV300 W8 Option,2019-01-01,Reciente
Hyundai,Verna CRDi 1.6 SX Option,2018-01-01,Reciente
Hyundai,Creta 1.6 SX Automatic Diesel,2015-01-01,Medio
Audi,Q3 2.0 TDI Quattro Premium Plus,2014-01-01,Medio
Audi,A4 2.0 TDI 177 Bhp Premium Plus,2013-01-01,Medio
Honda,City i-VTEC VX,2018-01-01,Reciente
Toyota,Innova 2.5 V Diesel 7-seater,2014-01-01,Medio
Honda,City i-VTEC CVT ZX,2018-01-01,Reciente
Toyota,Innova 2.5 G (Diesel) 7 Seater,2015-01-01,Medio
Ford,EcoSport 1.5 Ti VCT MT Titanium BE BSIV,2020-01-01,Reciente
Audi,Q5 2.0 TFSI Quattro,2010-01-01,Medio
Ford,Ecosport 1.5 Petrol Titanium Plus,2019-01-01,Reciente
Mahindra,Scorpio S7 140 BSIV,2018-01-01,Reciente
Tata,Hexa XT,2019-01-01,Reciente
Hyundai,Verna CRDi 1.6 AT EX,2018-01-01,Reciente
Hyundai,Verna VTVT 1.6 AT SX Option,2017-01-01,Medio
Tata,Hexa XT,2019-01-01,Reciente
Mahindra,Xylo H8 ABS with Airbags,2018-01-01,Reciente
Mercedes-Benz,B Class B180 Sports,2013-01-01,Medio
Maruti,Ertiga ZDI Plus,2019-01-01,Reciente
Ford,Ecosport Sports Petrol,2020-01-01,Reciente
Hyundai,Verna CRDi 1.6 SX Option,2019-01-01,Reciente
Volkswagen,Vento 1.5 TDI Highline Plus AT BSIV,2019-01-01,Reciente
Nissan,Kicks XL D BSIV,2019-01-01,Reciente
Mahindra,Scorpio S7 140 BSIV,2018-01-01,Reciente
Hyundai,Verna CRDi 1.6 AT EX,2018-01-01,Reciente
Maruti,Ertiga ZDI Plus,2019-01-01,Reciente
