brand,selling_price
Land,3609800.0
BMW,2945384.6153846155
Mercedes-Benz,2776657.1428571427
Volvo,2556250.0
Jaguar,2069166.5
Audi,1931633.3333333333
MG,1842500.0
Jeep,1530000.0
Isuzu,1500000.0
Kia,1300000.0
Toyota,924359.1650485437
Mitsubishi,840000.0
Mahindra,587709.5424657534
Ford,571273.0714285715
Honda,538146.7817460317
Skoda,490014.70588235295
Volkswagen,471037.3457943925
Nissan,449937.453125
Hyundai,419940.26065773447
Renault,419376.69178082194
Force,346000.0
Maruti,342416.2953125
Datsun,297026.9459459459
Tata,284083.3711911357
Fiat,283432.4054054054
Chevrolet,236727.06382978722
Ambassador,180000.0
OpelCorsa,88500.0
Daewoo,60000.0
