Marca,Modelo,Precio Promedio
Audi,RS7 2015-2019 Sportback Performance,8900000.0
Mercedes-Benz,S-Class S 350d Connoisseurs Edition,8150000.0
Mercedes-Benz,GLS 2016-2020 350d 4MATIC,5500000.0
BMW,X5 xDrive 30d xLine,4950000.0
Audi,A5 Sportback,4700000.0
Mercedes-Benz,E-Class Exclusive E 200 BSIV,4500000.0
Volvo,XC 90 D5 Inscription BSIV,4500000.0
Mercedes-Benz,GL-Class 350 CDI Blue Efficiency,4400000.0
Land,Rover Range Rover 4.4 Diesel LWB Vogue SE,4200000.0
Land,Rover Discovery Sport TD4 HSE 7S,4000000.0
BMW,7 Series Signature 730Ld,4000000.0
Land,Rover Discovery S 2.0 SD4,4000000.0
BMW,5 Series 520d Luxury Line,3850000.0
Mercedes-Benz,C-Class Progressive C 220d,3800000.0
Audi,Q5 3.0 TDI Quattro Technology,3666000.0
Land,Rover Discovery Sport SD4 HSE Luxury,3500000.0
Audi,A4 35 TDI Premium Plus,3256000.0
Audi,A4 30 TFSI Technology,3100000.0
BMW,3 Series GT Luxury Line,3050000.0
Toyota,Fortuner 2.8 2WD AT BSIV,2933333.3333333335
Toyota,Fortuner 2.8 4WD AT BSIV,2866666.6666666665
Audi,A8 4.2 TDI,2800000.0
Ford,Endeavour 2.2 Titanium AT 4X2,2800000.0
Mahindra,Alturas G4 4X2 AT BSIV,2700000.0
Ford,Endeavour Titanium Plus 4X4,2662500.0
Audi,Q3 35 TDI Quattro Technology,2637500.0
BMW,X1 sDrive 20d xLine,2620000.0
Jaguar,XJ 5.0 L V8 Supercharged,2550000.0
Toyota,Fortuner 4x2 AT,2538076.923076923
Mercedes-Benz,M-Class ML 350 CDI,2500000.0
Mercedes-Benz,E-Class E250 CDI Blue Efficiency,2500000.0
Toyota,Fortuner 2.7 2WD AT,2500000.0
Mercedes-Benz,New C-Class C 220 CDI Grand Edition,2490000.0
Ford,Endeavour 3.2 Titanium AT 4X4,2446428.5714285714
Land,Rover Range Rover Evoque 2.2L Dynamic,2349000.0
Audi,A4 35 TDI Premium,2300000.0
BMW,3 Series 320d Luxury Line,2216666.6666666665
Jaguar,XF 5.0 Litre V8 Petrol,2050000.0
Audi,Q5 2.0 TDI,2013333.3333333333
Mercedes-Benz,New C-Class C 220 CDI BE Avantgare,2000000.0
Volvo,XC60 D5 Inscription,2000000.0
Volvo,V40 D3 R Design,1975000.0
Jaguar,XF 2.2 Litre Luxury,1964999.0
Toyota,Camry 2.5 Hybrid,1900000.0
